Formula,Material ID,formula_unit_mass,volume,density,estimate_density
AgP15,mp-1195243,1144.9492599999999,684.410342322954,2.7779138594717816,2.7779154209555488
AgPd(IO3)3,mp-1193499,1477.99242,465.41801932070825,5.273246955781274,5.273249919908291
AgSbS2,mp-3922,1175.0328,387.33956674979146,5.037409127368563,5.037411958929575
AgTe,mp-568761,3767.4912,859.737489564989,7.276716900919564,7.276720991210298
Al2S3,mp-1228491,300.31615439999996,217.81180719136236,2.2895301826964203,2.28953146965649
Al2Se3,mp-11674,581.6861544,252.55345149639967,3.8245867485017886,3.824588898327314
Al2Te3,mp-29502,3494.1046175999995,1396.1935742271558,4.155653863056866,4.1556561989774075
AlAgO2,mp-9631,333.69707719999997,87.85832335519181,6.30693839740901,6.306941942580828
AlAgS2,mp-5782,397.9594772,169.43391449112184,3.900206524762423,3.900208717094326
AlAgSe2,mp-14091,585.5394772,196.76109454324234,4.941582476882666,4.941585254578883
AlAgTe2,mp-14092,780.0994771999999,245.06077562489892,5.285977139432593,5.285980110715331
AlCuS2,mp-4979,309.3150772,146.42766229382923,3.5077372781402407,3.507739249862582
AlCuSe2,mp-8016,496.89507719999995,172.56789465764706,4.781385838476759,4.781388526125386
AlCuTe2,mp-8017,691.4550772,218.71279783515297,5.249753008760489,5.249755959681401
AlN,mp-661,81.9764772,42.52728307818043,3.200889713142437,3.200891512383731
AlP,mp-1550,57.9553006,40.983457924417976,2.3481923106714797,2.34819363060592
AlSb,mp-2624,148.7415386,59.15180866014202,4.175546636123753,4.175548983226155
AlV(TeO4)2,mp-1194859,1844.4729544,659.6116814819885,4.64336742973821,4.643370039805776
As2Ir,mp-15649,1368.2408,212.13472096243026,10.710256626582213,10.710262646888351
As2O3,mp-1582,791.3656,319.14943889553336,4.117486464369091,4.117488778835485
As2Os,mp-2455,680.1464,102.41355313495791,11.02793169102378,11.027937889897176
As2Pt,mp-2513,1379.7087999999999,216.90309132645186,10.562598941863977,10.562604879170754
As2Rh,mp-15954,1010.9947999999999,209.600517428747,8.009504852964664,8.009509355160354
As2Ru,mp-766,501.8264,101.2371077110571,8.23119467448224,8.231199301291246
As2S3,mp-1189572,984.1528,526.4141283759965,3.1044458797969714,3.1044476248265482
As2Se3,mp-909,1546.8928,561.6818628364059,4.573186524611721,4.573189095230136
AsBr3,mp-23317,1258.5344,560.7410145346511,3.72693540099669,3.726937495931747
AsI3,mp-23218,911.27002,340.2057580755575,4.447894935673873,4.447897435865056
AsOsS,mp-1214793,1188.8663999999999,197.09464264356782,10.016300167723147,10.016305797951768
AsP,mp-1228799,211.790724,92.26506394301332,3.8117002917021154,3.8117024342840784
AsPPt,mp-1228792,1203.9174480000001,206.4863758833495,9.681762037872932,9.681767480055456
AsPRu,mp-1228753,413.930724,96.24478717678332,7.141666143491955,7.141670157869765
AsRuS,mp-1214786,832.2264,194.96319849644567,7.088232343916291,7.088236328258607
AsS,mp-542810,1711.7856,871.8557048070456,3.2602721376611328,3.2602739702816805
AsSeI,mp-505373,1123.14428,397.0435141879109,4.69728099748195,4.69728363785469
B2Mo(PbO2)6,mp-1196917,3105.5095999999994,693.0149119258148,7.441138601435116,7.441142784148376
B2O3,mp-306,208.86059999999998,135.3764045815366,2.561902769138968,2.5619042092014714
B2Se2O7,mp-558521,1166.1511999999998,541.0833060647883,3.5788197555860344,3.578821767264307
B3Pb10Br3O13,mp-1229254,5104.2744,1206.2595178762904,7.026553508791071,7.026557458463307
B3Pb3NO10,mp-1200969,3312.1348,921.309525454465,5.969686709287374,5.969690064887786
B4C,mp-1238815,165.76409999999998,108.28781431659964,2.541908945405635,2.5419103742294777
